"date" "nazva" "TSP" "SO2" "CO" "NO2" "NO" "H2S" "C6H6O" "NH3" "CH2O"
2014-03-14 "ПСЗ-1" NA 0.028 2 0.06 NA 0.001 2e-04 0.022 0.0055
2014-03-14 "ПСЗ-2" NA 0.027 2 0.065 NA 8e-04 5e-04 0.042 0.007
2014-03-14 "ПСЗ-3" NA 0.027 4 0.057 0.033 5e-04 0 0.035 0.0095
2014-03-14 "ПСЗ-6" 0.55 0.032 2 0.04 NA 0.0012 8e-04 0.038 0.006
2014-03-14 "ПСЗ-7" NA 0.03 2 0.05 NA 5e-04 0 0.042 0.0055
2014-03-15 "ПСЗ-1" NA 0.032 2 0.07 NA 0.0012 0.0015 0.038 0.0045
2014-03-15 "ПСЗ-2" NA 0.036 2 0.07 NA 0.002 0.0025 0.048 0.0065
2014-03-15 "ПСЗ-3" NA 0.03 2 0.057 0.033 0.001 8e-04 0.032 0.005
2014-03-15 "ПСЗ-6" 0.6 0.035 2 0.057 NA 0.0015 0.0012 0.035 0.0045
2014-03-15 "ПСЗ-7" NA 0.036 2 0.06 NA 0.002 0.0032 0.065 0.0065
2014-03-17 "ПСЗ-1" NA 0.016 1 0.03 NA 3e-04 0 0.017 0.0025
2014-03-17 "ПСЗ-2" NA 0.018 2 0.04 NA 7e-04 0 0.027 0.0035
2014-03-17 "ПСЗ-3" NA 0.013 1 0.035 0.01 0 0 0.017 0.003
2014-03-17 "ПСЗ-6" 0.4 0.022 2 0.03 NA 3e-04 0 0.02 0.003
2014-03-17 "ПСЗ-7" NA 0.016 2 0.045 NA 0 3e-04 0.017 0.0035
2014-03-18 "ПСЗ-1" NA 0.022 2 0.05 NA 2e-04 0 0.022 0.0035
2014-03-18 "ПСЗ-2" NA 0.024 2 0.05 NA 5e-04 2e-04 0.03 0.0055
2014-03-18 "ПСЗ-3" NA 0.017 2 0.037 0.023 2e-04 0 0.018 0.004
2014-03-18 "ПСЗ-6" 0.55 0.019 2 0.047 NA 2e-04 5e-04 0.022 0.0045
2014-03-18 "ПСЗ-7" NA 0.023 2 0.047 NA 0.001 8e-04 0.022 0.0065
2014-03-19 "ПСЗ-1" NA 0.031 2 0.06 NA 8e-04 2e-04 0.028 0.005
2014-03-19 "ПСЗ-2" NA 0.036 3 0.07 NA 0.0015 0.001 0.035 0.006
2014-03-19 "ПСЗ-3" NA 0.02 2 0.05 0.033 8e-04 2e-04 0.02 0.0045
2014-03-19 "ПСЗ-6" 0.35 0.022 2 0.057 NA 5e-04 0 0.032 0.0045
2014-03-19 "ПСЗ-7" NA 0.037 2 0.077 NA 0.0023 0.0025 0.068 0.009
2014-03-20 "ПСЗ-1" NA 0.024 2 0.035 NA 8e-04 5e-04 0.022 0.0025
2014-03-20 "ПСЗ-2" NA 0.029 2 0.055 NA 0.001 5e-04 0.018 0.005
2014-03-20 "ПСЗ-3" NA 0.021 4 0.077 0.047 5e-04 0.0012 0.022 0.012
